Cell,position_theta,position_z,position_theta_degrees,position_z_mm,amplitude,frequency
Glimpse1,4,2,12,62.650000000000006,0.0498586558919388,0.3928715731077639
Glimpse1,5,2,15,62.650000000000006,0.0510470866524894,0.3795973066351281
Glimpse1,6,2,18,62.650000000000006,0.0489256944982451,0.3663855671213449
Glimpse1,7,2,21,62.650000000000006,0.0483853310242263,0.3637280861881158
Glimpse1,8,2,24,62.650000000000006,0.0484949966816438,0.3568959621408515
Glimpse1,9,2,27,62.650000000000006,0.0479419895342715,0.3630316059302372
Glimpse1,10,2,30,62.650000000000006,0.0474999024052343,0.363931351128061
Glimpse1,11,2,33,62.650000000000006,0.0481655219610091,0.3616784232418191
Glimpse1,12,2,36,62.650000000000006,0.046872459239201,0.3654430424751484
Glimpse1,13,2,39,62.650000000000006,0.0471918192664322,0.3716576907913085
Glimpse1,14,2,42,62.650000000000006,0.0468465409161098,0.3883921120795783
Glimpse1,15,2,45,62.650000000000006,0.0467794519054993,0.3736926233728662
Glimpse1,16,2,48,62.650000000000006,0.0468667381795895,0.3604215556045804
Glimpse1,17,2,51,62.650000000000006,0.0458181489699328,0.3749743455564123
Glimpse1,18,2,54,62.650000000000006,0.0456100928013778,0.3553736977866906
Glimpse1,19,2,57,62.650000000000006,0.0480711366690826,0.3510435882659786
Glimpse1,20,2,60,62.650000000000006,0.0475694044744764,0.3571851364890094
Glimpse1,21,2,63,62.650000000000006,0.048195220058243,0.3487739334235279
Glimpse1,22,2,66,62.650000000000006,0.0490589393245853,0.3508374832152852
Glimpse1,23,2,69,62.650000000000006,0.0492789305946044,0.350858465154485
Glimpse1,24,2,72,62.650000000000006,0.0502657933092418,0.3485873503990291
Glimpse1,25,2,75,62.650000000000006,0.0494922417821234,0.363259661874825
Glimpse1,26,2,78,62.650000000000006,0.0492913785124583,0.3682853989524718
Glimpse1,27,2,81,62.650000000000006,0.0498778401545133,0.3517860418107643
Glimpse1,28,2,84,62.650000000000006,0.0507071868252124,0.3455261701584427
Glimpse1,29,2,87,62.650000000000006,0.0519051429844766,0.3274407376166628
Glimpse1,30,2,90,62.650000000000006,0.0515678993622649,0.3554900508850098
Glimpse1,31,2,93,62.650000000000006,0.0513210268888118,0.3656624018273033
Glimpse1,32,2,96,62.650000000000006,0.0510675989902189,0.3539806367566903
Glimpse1,33,2,99,62.650000000000006,0.0525199411131511,0.3588271584240776
Glimpse1,34,2,102,62.650000000000006,0.0520405970681265,0.3511230928520199
Glimpse1,35,2,105,62.650000000000006,0.0499439767981018,0.3493240299588567
Glimpse1,36,2,108,62.650000000000006,0.0498163060985465,0.3549311793830151
Glimpse1,37,2,111,62.650000000000006,0.0500121290215667,0.3541294285440772
Glimpse1,38,2,114,62.650000000000006,0.0502801033619178,0.3504996982275861
Glimpse1,39,2,117,62.650000000000006,0.0483054678202625,0.3546540184789832
Glimpse1,40,2,120,62.650000000000006,0.0481977619624891,0.348377035507897
Glimpse1,41,2,123,62.650000000000006,0.049675494223654,0.359200834813253
Glimpse1,42,2,126,62.650000000000006,0.0482946388480563,0.3458138653702737
Glimpse1,43,2,129,62.650000000000006,0.047627031402694,0.3499527943463226
Glimpse1,44,2,132,62.650000000000006,0.0468086074991068,0.3482860459717218
Glimpse1,45,2,135,62.650000000000006,0.0483596006109905,0.344728412512955
Glimpse1,46,2,138,62.650000000000006,0.0463507848088681,0.3504040691596471
Glimpse1,47,2,141,62.650000000000006,0.0481744994900354,0.3485938928187789
Glimpse1,48,2,144,62.650000000000006,0.0480382061469247,0.3496583143827491
Glimpse1,49,2,147,62.650000000000006,0.0477859394303133,0.3581429932374767
Glimpse1,50,2,150,62.650000000000006,0.04600053043225,0.3485496966075116
Glimpse1,51,2,153,62.650000000000006,0.0460887302645989,0.3381110037082545
Glimpse1,52,2,156,62.650000000000006,0.0466858029390141,0.3450484982335206
Glimpse1,53,2,159,62.650000000000006,0.0466545151068771,0.3541013217161924
Glimpse1,54,2,162,62.650000000000006,0.047470849365661,0.3566929583058099
Glimpse1,55,2,165,62.650000000000006,0.0462185665064019,0.3656015925060166
Glimpse1,56,2,168,62.650000000000006,0.0462312715018804,0.3817000825315244
Glimpse1,57,2,171,62.650000000000006,0.0454247094965728,0.3979454049496638
Glimpse1,58,2,174,62.650000000000006,0.0479730187188795,0.4112031269188614
Glimpse1,59,2,177,62.650000000000006,0.0492939362973277,0.4226239130837532
Glimpse1,60,2,180,62.650000000000006,0.0486030279892386,0.4181627764952598
Glimpse1,61,2,183,62.650000000000006,0.0474905381139877,0.4004537893344843
Glimpse1,62,2,186,62.650000000000006,0.0479888702777494,0.3879585325306419
Glimpse1,63,2,189,62.650000000000006,0.0488944187518362,0.3805560323840333
Glimpse1,64,2,192,62.650000000000006,0.0493733581590562,0.3845909017323352
Glimpse1,65,2,195,62.650000000000006,0.0511967036444654,0.3796731976297783
Glimpse1,66,2,198,62.650000000000006,0.0505125905867892,0.3556301319836652
Glimpse1,67,2,201,62.650000000000006,0.0501276849409922,0.3560306047861377
Glimpse1,68,2,204,62.650000000000006,0.0502264145033619,0.3414388697814033
Glimpse1,69,2,207,62.650000000000006,0.0497279296458407,0.356054633814442
Glimpse1,70,2,210,62.650000000000006,0.0494257847758103,0.3570701591301664
Glimpse1,71,2,213,62.650000000000006,0.0484259489488237,0.3704372478322589
Glimpse1,72,2,216,62.650000000000006,0.0480629884932827,0.3616593060523804
Glimpse1,73,2,219,62.650000000000006,0.0477181407953953,0.357199894147139
Glimpse1,74,2,222,62.650000000000006,0.0481898384721767,0.3711208321585011
Glimpse1,75,2,225,62.650000000000006,0.0467789870794252,0.3726731830557306
Glimpse1,76,2,228,62.650000000000006,0.0471791887109603,0.3669601597738698
Glimpse1,77,2,231,62.650000000000006,0.0461019847320216,0.3630168057556778
Glimpse1,78,2,234,62.650000000000006,0.0459882552994954,0.3607884528907169
Glimpse1,79,2,237,62.650000000000006,0.0446300898208041,0.3567904512278779
Glimpse1,80,2,240,62.650000000000006,0.044743607385125,0.3675847817265765
Glimpse1,81,2,243,62.650000000000006,0.0452587128654194,0.3501487575051905
Glimpse1,82,2,246,62.650000000000006,0.0456586773410167,0.3558803209720989
Glimpse1,83,2,249,62.650000000000006,0.0453394315339947,0.357181105835418
Glimpse1,84,2,252,62.650000000000006,0.0432242371993277,0.339336161937443
Glimpse1,85,2,255,62.650000000000006,0.0467200464661895,0.3465525891906049
Glimpse1,86,2,258,62.650000000000006,0.0460041784324255,0.3424305701368424
Glimpse1,87,2,261,62.650000000000006,0.0448978535849681,0.3411050661455616
Glimpse1,88,2,264,62.650000000000006,0.0461992573155133,0.3448033430466746
Glimpse1,89,2,267,62.650000000000006,0.046995645008724,0.3398343269485815
Glimpse1,90,2,270,62.650000000000006,0.0466817535917692,0.3288400778562639
Glimpse1,91,2,273,62.650000000000006,0.048296105181971,0.3389025255028294
